scan,rater_1,rater_2,rater_3,rater_4
sub-6959_ses-baseline__,no,yes,no,no
sub-6960_ses-baseline__,yes,yes,yes,yes
sub-6962_ses-baseline__,yes,yes,yes,yes
sub-6964_ses-baseline__,no,no,no,no
sub-6965_ses-baseline__,yes,yes,yes,yes
sub-6973_ses-baseline__,yes,yes,yes,yes
sub-6990_ses-baseline__,no,no,no,no
sub-7006_ses-baseline__,yes,yes,yes,yes
sub-7013_ses-baseline__,yes,yes,yes,yes
sub-7018_ses-baseline__,yes,yes,yes,yes
sub-7027_ses-baseline__,yes,yes,yes,yes
sub-7036_ses-baseline__,yes,yes,yes,yes
sub-7037_ses-baseline__,no,no,no,no
sub-7039_ses-baseline__,yes,yes,yes,yes
sub-7044_ses-baseline__,yes,yes,yes,yes
sub-7046_ses-baseline__,yes,yes,yes,yes
sub-7049_ses-baseline__,yes,yes,yes,yes
sub-7061_ses-baseline__,yes,yes,yes,yes
sub-7063_ses-baseline__,yes,yes,yes,yes
sub-7074_ses-baseline__,yes,yes,yes,yes
sub-7079_ses-baseline__,no,yes,no,no
sub-7083_ses-baseline__,yes,yes,yes,yes
sub-7084_ses-baseline__,yes,yes,yes,yes
sub-7095_ses-baseline__,yes,yes,yes,yes
sub-7101_ses-month24__,yes,yes,yes,yes
sub-7119_ses-baseline__,yes,yes,yes,yes
sub-7124_ses-month24__,yes,yes,yes,yes
sub-7138_ses-baseline__,yes,yes,yes,yes
sub-7140_ses-month24__,yes,yes,yes,yes
sub-7148_ses-baseline__,yes,yes,yes,yes
sub-7162_ses-baseline__,yes,yes,yes,yes
sub-7182_ses-baseline__,yes,yes,yes,yes
sub-7184_ses-baseline__,yes,yes,yes,yes
sub-7192_ses-baseline__,yes,yes,yes,yes
sub-7200_ses-baseline__,yes,yes,yes,yes
sub-7201_ses-baseline__,no,no,no,no
sub-7201_ses-month24__,no,no,no,no
sub-7203_ses-baseline__,yes,yes,yes,yes
sub-7213_ses-baseline__,yes,yes,yes,yes
sub-7213_ses-month24__,yes,yes,yes,yes
sub-7217_ses-baseline__,yes,yes,yes,yes
sub-7220_ses-month24__,yes,yes,yes,yes
sub-7224_ses-month24__,yes,yes,yes,yes
sub-7229_ses-baseline__,yes,yes,yes,yes
sub-7230_ses-month24__,yes,yes,yes,yes
sub-7233_ses-baseline__,yes,yes,yes,yes
sub-7242_ses-baseline__,yes,yes,yes,yes
sub-7243_ses-baseline__,yes,yes,yes,yes
sub-7247_ses-baseline__,no,no,no,no
sub-7249_ses-month24__,yes,yes,yes,yes
sub-7253_ses-baseline__,yes,yes,yes,yes
sub-7256_ses-month24__,yes,yes,yes,yes
sub-7260_ses-baseline__,yes,yes,yes,yes
sub-7261_ses-month24__,yes,yes,yes,yes
sub-7267_ses-baseline__,yes,yes,yes,yes
sub-7272_ses-month24__,no,no,no,no
sub-7281_ses-baseline__,yes,yes,yes,yes
sub-7282_ses-baseline__,yes,yes,yes,yes
sub-7283_ses-baseline__,yes,yes,yes,yes
sub-7290_ses-baseline__,yes,yes,yes,yes
sub-7298_ses-baseline__,no,no,no,yes
sub-7305_ses-baseline__,no,no,no,no
sub-7306_ses-month24__,yes,yes,yes,yes
sub-7309_ses-baseline__,yes,yes,yes,yes
sub-7312_ses-month24__,yes,yes,yes,yes
sub-7325_ses-baseline__,yes,yes,yes,yes
sub-7327_ses-baseline__,yes,yes,yes,yes
sub-7329_ses-baseline__,yes,yes,yes,yes
sub-7337_ses-baseline__,yes,yes,yes,yes
sub-7339_ses-baseline__,yes,yes,yes,yes
sub-7341_ses-baseline__,yes,yes,yes,yes
sub-7343_ses-baseline__,yes,yes,yes,yes
sub-7345_ses-baseline__,yes,yes,yes,yes
sub-7346_ses-baseline__,no,yes,no,yes
sub-7350_ses-month24__,yes,yes,yes,yes
sub-7355_ses-baseline__,yes,yes,yes,yes
sub-7360_ses-month24__,yes,yes,yes,yes
sub-7362_ses-baseline__,yes,yes,yes,yes
sub-7363_ses-baseline__,yes,yes,yes,yes
sub-7364_ses-baseline__,no,no,no,no
sub-7364_ses-month24__,no,no,no,no
sub-7369_ses-month24__,yes,yes,yes,yes
sub-7372_ses-baseline__,yes,yes,yes,yes
sub-7373_ses-baseline__,yes,yes,yes,yes
sub-7379_ses-month24__,no,yes,no,no
sub-7388_ses-month24__,yes,yes,yes,yes
sub-7394_ses-baseline__,yes,yes,yes,yes
sub-7399_ses-baseline__,yes,yes,yes,yes
sub-7408_ses-baseline__,yes,yes,yes,yes
sub-7409_ses-baseline__,yes,yes,yes,yes
