scan,rater_1,rater_2,rater_3,rater_4
sub-9679_ses-baseline__,yes,yes,yes,yes
sub-9688_ses-month48__,yes,yes,yes,yes
sub-9690_ses-month24__,yes,yes,yes,yes
sub-9691_ses-month24__,yes,yes,yes,yes
sub-9696_ses-baseline__,yes,yes,yes,yes
sub-9697_ses-baseline__,yes,yes,yes,yes
sub-9699_ses-baseline__,yes,yes,yes,yes
sub-9710_ses-month24__,no,no,no,no
sub-9716_ses-baseline__,yes,yes,yes,yes
sub-9719_ses-month48__,no,no,no,no
sub-9722_ses-baseline__,yes,yes,yes,yes
sub-9726_ses-month48__,yes,yes,yes,yes
sub-9740_ses-baseline__,yes,yes,yes,yes
sub-9776_ses-baseline__,yes,yes,yes,yes
sub-9776_ses-month24__,yes,yes,yes,yes
sub-9783_ses-baseline__,yes,yes,yes,yes
sub-9783_ses-month24__,yes,yes,yes,yes
sub-9794_ses-month24__,yes,yes,yes,yes
sub-9796_ses-month24__,yes,yes,yes,yes
sub-9806_ses-month24__,no,no,no,no
sub-9815_ses-baseline__,yes,yes,yes,yes
sub-9815_ses-month72__,yes,yes,yes,yes
sub-9817_ses-month48__,yes,yes,yes,yes
sub-9826_ses-month24__,yes,yes,yes,yes
sub-9843_ses-month24__,yes,yes,yes,yes
sub-9851_ses-month72__,yes,yes,yes,yes
sub-9859_ses-baseline__,yes,yes,yes,yes
sub-9871_ses-month48__,yes,yes,yes,yes
sub-9878_ses-month48__,yes,yes,yes,yes
sub-9902_ses-month48__,yes,yes,yes,yes
sub-9902_ses-month72__,maybe,yes,no,no
sub-9912_ses-baseline__,yes,yes,yes,yes
sub-9922_ses-baseline__,yes,yes,yes,yes
sub-9924_ses-baseline__,yes,yes,yes,yes
sub-9936_ses-baseline__,yes,yes,yes,yes
sub-9939_ses-baseline__,yes,yes,yes,yes
sub-9944_ses-baseline__,yes,yes,yes,yes
sub-9960_ses-baseline__,yes,yes,yes,yes
sub-9969_ses-baseline__,yes,yes,yes,yes
sub-9974_ses-month24__,yes,yes,yes,yes
sub-9979_ses-month48__,yes,yes,yes,yes
sub-9996_ses-month48__,yes,yes,no,no
