scan,rater_1,rater_2,rater_3,rater_4
sub-6811_ses-baseline__,yes,yes,yes,yes
sub-6814_ses-baseline__,no,yes,no,no
sub-6825_ses-baseline__,yes,yes,yes,yes
sub-6827_ses-baseline__,yes,yes,yes,yes
sub-6834_ses-baseline__,no,no,no,no
sub-6841_ses-baseline__,yes,yes,yes,yes
sub-6847_ses-baseline__,yes,yes,yes,yes
sub-6852_ses-baseline__,yes,yes,yes,yes
sub-6859_ses-baseline__,yes,yes,yes,yes
sub-6868_ses-baseline__,yes,yes,yes,yes
sub-6882_ses-baseline__,yes,yes,yes,yes
sub-6885_ses-baseline__,yes,yes,yes,yes
sub-6886_ses-baseline__,yes,yes,yes,yes
sub-6889_ses-baseline__,yes,yes,yes,yes
sub-6902_ses-baseline__,yes,yes,yes,yes
sub-6903_ses-baseline__,yes,yes,yes,yes
sub-6905_ses-baseline__,yes,yes,yes,yes
sub-6919_ses-baseline__,yes,yes,yes,yes
sub-6930_ses-baseline__,yes,yes,yes,yes
sub-6955_ses-baseline__,yes,yes,yes,yes
sub-6959_ses-baseline__,yes,yes,yes,yes
sub-6964_ses-baseline__,yes,yes,yes,yes
sub-6971_ses-baseline__,yes,yes,yes,yes
sub-6982_ses-baseline__,yes,yes,yes,yes
sub-6983_ses-baseline__,yes,yes,yes,yes
sub-6990_ses-baseline__,yes,yes,yes,yes
sub-6994_ses-baseline__,maybe,yes,no,yes
sub-6997_ses-baseline__,yes,yes,yes,yes
sub-7007_ses-baseline__,yes,yes,yes,yes
sub-7014_ses-baseline__,yes,yes,yes,yes
sub-7027_ses-baseline__,yes,yes,yes,yes
sub-7036_ses-baseline__,yes,yes,yes,yes
sub-7043_ses-baseline__,yes,yes,yes,yes
sub-7045_ses-baseline__,yes,yes,yes,yes
sub-7049_ses-baseline__,yes,yes,yes,yes
sub-7054_ses-baseline__,yes,yes,yes,yes
sub-7056_ses-baseline__,yes,yes,yes,yes
sub-7059_ses-baseline__,no,no,no,no
sub-7064_ses-baseline__,yes,yes,yes,yes
sub-7065_ses-baseline__,yes,yes,yes,yes
sub-7075_ses-baseline__,yes,yes,yes,yes
sub-7082_ses-baseline__,yes,yes,yes,yes
sub-7096_ses-baseline__,yes,yes,yes,yes
sub-7103_ses-baseline__,yes,yes,yes,yes
sub-7103_ses-month24__,yes,yes,yes,yes
sub-7107_ses-baseline__,yes,yes,yes,yes
sub-7122_ses-baseline__,yes,yes,yes,yes
sub-7123_ses-month24__,yes,yes,yes,yes
sub-7129_ses-month24__,yes,yes,yes,yes
sub-7131_ses-baseline__,no,yes,no,no
sub-7133_ses-baseline__,no,yes,no,no
sub-7137_ses-baseline__,no,yes,no,no
sub-7140_ses-month24__,no,yes,no,no
sub-7141_ses-baseline__,yes,yes,yes,yes
sub-7149_ses-baseline__,yes,yes,yes,yes
sub-7156_ses-baseline__,yes,yes,yes,yes
sub-7168_ses-baseline__,yes,yes,yes,yes
sub-7174_ses-baseline__,no,no,no,no
sub-7177_ses-baseline__,yes,yes,yes,yes
sub-7177_ses-month24__,yes,yes,yes,yes
sub-7178_ses-baseline__,no,yes,no,no
sub-7184_ses-month24__,no,yes,no,no
sub-7189_ses-baseline__,yes,yes,yes,yes
sub-7192_ses-month24__,yes,yes,yes,yes
sub-7198_ses-month24__,yes,yes,yes,yes
sub-7199_ses-baseline__,yes,yes,yes,yes
sub-7205_ses-baseline__,yes,yes,yes,yes
sub-7207_ses-baseline__,yes,yes,yes,yes
sub-7209_ses-month24__,yes,yes,yes,yes
sub-7210_ses-month24__,yes,yes,yes,yes
sub-7213_ses-baseline__,yes,yes,yes,yes
sub-7221_ses-baseline__,yes,yes,yes,yes
sub-7224_ses-baseline__,yes,yes,no,yes
sub-7227_ses-baseline__,yes,yes,no,no
sub-7227_ses-month24__,no,yes,no,no
sub-7229_ses-month24__,yes,yes,yes,yes
sub-7230_ses-baseline__,yes,yes,yes,yes
sub-7232_ses-baseline__,yes,yes,yes,yes
sub-7235_ses-baseline__,yes,yes,yes,yes
sub-7245_ses-baseline__,yes,yes,yes,yes
sub-7246_ses-baseline__,yes,yes,yes,yes
sub-7256_ses-month24__,yes,yes,yes,yes
sub-7263_ses-baseline__,yes,yes,yes,yes
sub-7265_ses-baseline__,yes,yes,yes,yes
sub-7286_ses-baseline__,yes,yes,yes,yes
sub-7288_ses-baseline__,yes,yes,yes,yes
sub-7302_ses-baseline__,no,no,no,no
sub-7303_ses-baseline__,yes,yes,yes,yes
sub-7313_ses-month24__,yes,yes,yes,yes
sub-7324_ses-baseline__,yes,yes,yes,yes
sub-7328_ses-baseline__,yes,yes,yes,yes
sub-7335_ses-baseline__,yes,yes,yes,yes
sub-7342_ses-baseline__,yes,yes,yes,yes
sub-7345_ses-baseline__,yes,yes,yes,yes
sub-7348_ses-month24__,yes,yes,yes,yes
sub-7352_ses-baseline__,no,yes,no,no
sub-7355_ses-baseline__,yes,yes,yes,yes
sub-7356_ses-baseline__,yes,yes,yes,yes
sub-7361_ses-month24__,yes,yes,no,no
sub-7368_ses-month24__,yes,yes,yes,yes
sub-7372_ses-baseline__,yes,yes,yes,yes
sub-7375_ses-baseline__,no,no,no,no
sub-7382_ses-baseline__,no,yes,no,no
sub-7384_ses-baseline__,yes,yes,yes,yes
sub-7395_ses-baseline__,yes,yes,yes,yes
sub-7397_ses-baseline__,yes,yes,yes,yes
sub-7397_ses-month24__,yes,yes,yes,yes
sub-7400_ses-baseline__,yes,yes,yes,yes
sub-7407_ses-month24__,yes,yes,yes,yes
sub-7408_ses-baseline__,yes,yes,yes,yes
sub-7410_ses-baseline__,yes,yes,yes,yes
sub-7410_ses-month24__,yes,yes,yes,yes
sub-7434_ses-baseline__,yes,yes,yes,yes
sub-7442_ses-baseline__,yes,yes,yes,yes
sub-7449_ses-month24__,yes,yes,yes,yes
sub-7453_ses-baseline__,yes,yes,yes,yes
sub-7455_ses-baseline__,no,yes,no,no
sub-7457_ses-baseline__,no,yes,no,no
sub-7460_ses-month24__,yes,yes,yes,yes
sub-7461_ses-baseline__,yes,yes,yes,yes
sub-7466_ses-baseline__,yes,yes,no,no
sub-7467_ses-baseline__,yes,yes,yes,yes
sub-7467_ses-month24__,yes,yes,yes,yes
sub-7468_ses-month24__,yes,yes,yes,yes
sub-7479_ses-baseline__,yes,yes,yes,yes
sub-7482_ses-month24__,yes,yes,yes,yes
sub-7483_ses-month24__,yes,yes,yes,yes
sub-7486_ses-month24__,yes,yes,yes,yes
sub-7491_ses-month24__,yes,yes,yes,yes
sub-7494_ses-baseline__,yes,yes,yes,yes
sub-7497_ses-baseline__,yes,yes,yes,yes
sub-7501_ses-month24__,yes,yes,yes,yes
sub-7504_ses-month24__,yes,yes,yes,yes
sub-7521_ses-month24__,yes,yes,yes,yes
sub-7524_ses-month24__,yes,yes,yes,yes
sub-7525_ses-baseline__,no,yes,no,no
sub-7529_ses-baseline__,yes,yes,yes,yes
sub-7531_ses-baseline__,yes,yes,yes,yes
sub-7533_ses-month24__,yes,yes,yes,yes
sub-7551_ses-month24__,no,yes,no,no
sub-7559_ses-baseline__,yes,yes,yes,yes
sub-7561_ses-baseline__,yes,yes,yes,yes
sub-7566_ses-baseline__,no,yes,no,no
sub-7567_ses-month24__,yes,yes,yes,yes
sub-7570_ses-baseline__,yes,yes,yes,yes
sub-7582_ses-baseline__,yes,yes,yes,yes
sub-7583_ses-baseline__,yes,yes,yes,yes
sub-7584_ses-month24__,yes,yes,yes,yes
sub-7598_ses-baseline__,no,yes,no,no
sub-7599_ses-month24__,yes,yes,yes,yes
sub-7602_ses-month24__,yes,yes,yes,yes
sub-7603_ses-month24__,yes,yes,yes,yes
sub-7605_ses-baseline__,yes,yes,yes,yes
sub-7605_ses-month24__,yes,yes,yes,yes
sub-7606_ses-baseline__,yes,yes,yes,yes
sub-7607_ses-baseline__,no,no,no,no
sub-7607_ses-month24__,no,no,no,no
sub-7615_ses-baseline__,yes,yes,yes,yes
sub-7635_ses-baseline__,yes,yes,yes,yes
sub-7644_ses-month24__,yes,yes,yes,yes
sub-7644_ses-month48__,yes,yes,yes,yes
sub-7646_ses-baseline__,no,no,no,no
sub-7646_ses-month24__,no,no,no,no
sub-7647_ses-baseline__,yes,yes,yes,yes
sub-7647_ses-month48__,yes,yes,yes,yes
sub-7648_ses-baseline__,yes,yes,yes,yes
sub-7651_ses-month48__,yes,yes,yes,yes
sub-7672_ses-baseline__,yes,yes,yes,yes
sub-7678_ses-month24__,yes,yes,yes,yes
sub-7689_ses-baseline__,no,yes,no,no
sub-7692_ses-baseline__,yes,yes,yes,yes
sub-7704_ses-month48__,yes,yes,yes,yes
sub-7706_ses-baseline__,yes,yes,yes,yes
sub-7709_ses-baseline__,no,no,no,no
sub-7714_ses-baseline__,yes,yes,yes,yes
sub-7716_ses-month24__,yes,yes,yes,yes
sub-7717_ses-month48__,yes,yes,yes,yes
sub-7735_ses-baseline__,yes,yes,yes,yes
sub-7738_ses-baseline__,yes,yes,yes,yes
sub-7738_ses-month24__,yes,yes,yes,yes
sub-7741_ses-month24__,yes,yes,yes,yes
sub-7744_ses-baseline__,no,no,no,no
sub-7751_ses-month24__,yes,yes,yes,yes
sub-7753_ses-month24__,yes,yes,yes,yes
sub-7757_ses-baseline__,no,yes,no,no
sub-7757_ses-month24__,yes,yes,yes,yes
sub-7760_ses-month24__,yes,yes,yes,yes
sub-7774_ses-baseline__,yes,yes,yes,yes
sub-7779_ses-month24__,yes,yes,yes,yes
sub-7782_ses-baseline__,yes,yes,yes,yes
sub-7783_ses-month48__,yes,yes,yes,yes
sub-7787_ses-month24__,yes,yes,yes,yes
sub-7792_ses-month24__,yes,yes,yes,yes
sub-7796_ses-baseline__,yes,yes,yes,yes
sub-7799_ses-baseline__,no,yes,no,no
sub-7799_ses-month24__,yes,yes,yes,yes
sub-7817_ses-baseline__,yes,yes,yes,yes
sub-7823_ses-baseline__,no,no,no,no
sub-7825_ses-month48__,yes,yes,yes,yes
sub-7829_ses-baseline__,yes,yes,yes,yes
sub-7833_ses-baseline__,yes,yes,no,no
sub-7838_ses-month24__,yes,yes,yes,yes
sub-7839_ses-baseline__,yes,yes,yes,yes
sub-7839_ses-month24__,yes,yes,yes,yes
sub-7840_ses-month24__,yes,yes,yes,yes
sub-7847_ses-baseline__,yes,yes,yes,yes
sub-7858_ses-baseline__,yes,yes,yes,yes
sub-7861_ses-month24__,yes,yes,yes,yes
sub-7861_ses-month48__,yes,yes,yes,yes
sub-7864_ses-baseline__,yes,yes,yes,yes
sub-7866_ses-month24__,yes,yes,yes,yes
sub-7867_ses-month48__,yes,yes,yes,yes
sub-7870_ses-baseline__,no,yes,no,no
sub-7871_ses-baseline__,yes,yes,yes,yes
sub-7874_ses-baseline__,yes,yes,yes,yes
sub-7880_ses-month24__,no,no,no,no
sub-7882_ses-month48__,yes,yes,yes,yes
sub-7884_ses-month48__,yes,yes,yes,yes
sub-7885_ses-month48__,yes,yes,yes,yes
sub-7886_ses-baseline__,no,yes,no,no
sub-7888_ses-month48__,yes,yes,yes,yes
sub-7890_ses-baseline__,yes,yes,yes,yes
sub-7891_ses-month48__,yes,yes,yes,yes
sub-7894_ses-month24__,maybe,yes,no,no
sub-7902_ses-baseline__,yes,yes,yes,yes
sub-7916_ses-baseline__,yes,yes,yes,yes
sub-7920_ses-baseline__,no,yes,no,no
sub-7923_ses-baseline__,yes,yes,yes,yes
sub-7927_ses-month24__,yes,yes,yes,yes
sub-7929_ses-baseline__,no,yes,no,no
sub-7930_ses-baseline__,yes,yes,yes,yes
sub-7932_ses-baseline__,yes,yes,yes,yes
sub-7932_ses-month48__,yes,yes,yes,yes
sub-7934_ses-baseline__,yes,yes,yes,yes
sub-7943_ses-month24__,no,no,no,no
sub-7949_ses-month48__,yes,yes,yes,yes
sub-7950_ses-month24__,yes,yes,yes,yes
sub-7950_ses-month48__,yes,yes,yes,yes
sub-7953_ses-baseline__,maybe,yes,no,yes
sub-7960_ses-month48__,yes,yes,yes,yes
sub-7963_ses-month48__,no,no,no,no
sub-7967_ses-baseline__,yes,yes,yes,yes
sub-7968_ses-month24__,yes,yes,yes,yes
sub-7973_ses-baseline__,yes,yes,yes,yes
sub-7978_ses-month24__,yes,yes,yes,yes
sub-7978_ses-month48__,yes,yes,yes,yes
