scan,rater_1,rater_2,rater_3,rater_4
sub-7339_ses-baseline__,yes,yes,yes,yes
sub-7343_ses-baseline__,yes,yes,yes,yes
sub-7349_ses-baseline__,yes,yes,yes,yes
sub-7353_ses-baseline__,yes,yes,yes,yes
sub-7353_ses-month24__,yes,yes,yes,yes
sub-7355_ses-month24__,yes,yes,yes,yes
sub-7360_ses-month24__,yes,yes,yes,yes
sub-7375_ses-baseline__,no,no,no,no
sub-7375_ses-month24__,maybe,no,no,no
sub-7378_ses-month24__,yes,yes,yes,yes
sub-7391_ses-baseline__,yes,yes,no,no
sub-7393_ses-baseline__,yes,yes,no,no
sub-7395_ses-baseline__,no,no,no,no
sub-7413_ses-month24__,yes,yes,yes,yes
sub-7423_ses-month24__,no,no,no,no
sub-7424_ses-baseline__,yes,yes,yes,yes
sub-7430_ses-baseline__,no,no,no,no
sub-7436_ses-month24__,yes,yes,yes,yes
sub-7438_ses-baseline__,yes,yes,yes,yes
sub-7442_ses-baseline__,yes,yes,yes,yes
sub-7445_ses-baseline__,yes,yes,yes,yes
sub-7451_ses-month24__,yes,yes,yes,yes
sub-7467_ses-month24__,yes,yes,yes,yes
sub-7471_ses-baseline__,yes,yes,yes,yes
sub-7471_ses-month24__,yes,yes,yes,yes
sub-7485_ses-baseline__,no,no,no,no
sub-7493_ses-month24__,yes,yes,yes,yes
sub-7494_ses-month24__,yes,yes,yes,yes
sub-7497_ses-baseline__,yes,yes,yes,yes
sub-7507_ses-baseline__,yes,yes,yes,yes
sub-7507_ses-month24__,yes,yes,yes,yes
sub-7510_ses-baseline__,yes,yes,yes,yes
sub-7511_ses-baseline__,yes,yes,yes,yes
sub-7512_ses-month24__,yes,yes,yes,yes
sub-7515_ses-month24__,yes,yes,yes,yes
sub-7521_ses-month24__,yes,yes,yes,yes
sub-7523_ses-baseline__,yes,yes,yes,yes
sub-7533_ses-month48__,no,no,no,no
sub-7538_ses-baseline__,yes,yes,yes,yes
sub-7538_ses-month24__,yes,yes,yes,yes
sub-7541_ses-month24__,yes,yes,yes,yes
sub-7550_ses-baseline__,yes,yes,yes,yes
sub-7552_ses-month24__,yes,yes,no,no
sub-7564_ses-baseline__,yes,yes,yes,yes
sub-7573_ses-month24__,yes,yes,yes,yes
sub-7583_ses-baseline__,yes,yes,yes,yes
sub-7584_ses-baseline__,yes,yes,yes,yes
sub-7588_ses-month24__,no,yes,no,no
sub-7591_ses-baseline__,yes,yes,yes,yes
sub-7593_ses-baseline__,yes,yes,yes,yes
sub-7597_ses-baseline__,no,no,no,no
sub-7599_ses-baseline__,yes,yes,yes,yes
sub-7602_ses-month24__,yes,yes,yes,yes
sub-7607_ses-month24__,no,no,no,no
sub-7612_ses-month48__,yes,yes,yes,yes
sub-7613_ses-baseline__,yes,yes,yes,yes
sub-7616_ses-month48__,yes,yes,yes,yes
sub-7624_ses-month24__,no,no,no,no
sub-7624_ses-month48__,yes,yes,yes,yes
sub-7630_ses-baseline__,yes,yes,yes,yes
sub-7631_ses-baseline__,yes,yes,yes,yes
sub-7633_ses-baseline__,yes,yes,yes,yes
sub-7637_ses-baseline__,yes,yes,yes,yes
sub-7644_ses-month24__,yes,yes,yes,yes
sub-7645_ses-month48__,yes,yes,yes,yes
sub-7646_ses-month24__,no,no,no,no
sub-7647_ses-baseline__,yes,yes,yes,yes
sub-7649_ses-month24__,yes,yes,yes,yes
sub-7650_ses-baseline__,yes,yes,yes,yes
sub-7653_ses-baseline__,yes,yes,yes,yes
sub-7657_ses-baseline__,yes,yes,yes,yes
sub-7680_ses-baseline__,yes,yes,yes,yes
