scan,rater_1,rater_2,rater_3,rater_4
sub-6817_ses-baseline__,yes,yes,yes,yes
sub-6819_ses-baseline__,no,no,no,no
sub-6828_ses-baseline__,no,no,no,no
sub-6845_ses-baseline__,yes,yes,yes,yes
sub-6854_ses-baseline__,no,no,no,no
sub-6859_ses-baseline__,no,no,no,no
sub-6865_ses-baseline__,yes,yes,yes,yes
sub-6875_ses-baseline__,maybe,no,no,no
sub-6901_ses-baseline__,yes,yes,yes,yes
sub-6931_ses-baseline__,no,no,no,no
sub-6940_ses-baseline__,no,no,no,no
sub-6941_ses-baseline__,no,no,no,no
sub-6944_ses-baseline__,no,yes,no,no
sub-6947_ses-baseline__,yes,yes,yes,yes
sub-6951_ses-baseline__,yes,yes,yes,yes
sub-6966_ses-baseline__,yes,yes,yes,yes
sub-6980_ses-baseline__,yes,yes,yes,yes
sub-6998_ses-baseline__,no,no,no,no
sub-7002_ses-baseline__,maybe,yes,no,no
sub-7004_ses-baseline__,yes,yes,yes,yes
sub-7015_ses-baseline__,yes,no,yes,yes
sub-7033_ses-baseline__,yes,yes,yes,yes
sub-7037_ses-baseline__,no,no,no,no
sub-7069_ses-baseline__run-1,no,no,no,no
sub-7069_ses-baseline__run-2,no,no,no,no
sub-7078_ses-baseline__,no,yes,no,no
sub-7079_ses-baseline__,no,no,no,no
sub-7091_ses-baseline__,yes,yes,yes,yes
sub-7112_ses-baseline__,yes,yes,yes,yes
sub-7122_ses-baseline__,no,no,no,no
sub-7127_ses-baseline__,no,no,no,no
sub-7130_ses-baseline__,yes,yes,yes,yes
sub-7137_ses-baseline__,yes,yes,yes,yes
sub-7139_ses-baseline__,yes,yes,no,no
sub-7139_ses-month24__,no,no,no,no
sub-7140_ses-month24__,no,yes,yes,yes
sub-7149_ses-baseline__,maybe,yes,yes,yes
sub-7157_ses-baseline__,no,yes,no,no
sub-7168_ses-baseline__,yes,yes,yes,yes
sub-7174_ses-baseline__,no,no,no,no
sub-7178_ses-baseline__,no,no,no,no
sub-7188_ses-baseline__,yes,yes,yes,yes
sub-7189_ses-baseline__,no,yes,maybe,no
sub-7192_ses-baseline__,yes,yes,yes,yes
sub-7194_ses-baseline__,yes,yes,yes,yes
sub-7195_ses-baseline__,no,no,no,no
sub-7201_ses-baseline__,no,no,no,no
sub-7201_ses-month24__,no,no,no,no
sub-7204_ses-baseline__,yes,yes,yes,yes
sub-7206_ses-month24__,no,yes,no,no
sub-7210_ses-baseline__,yes,yes,yes,yes
sub-7210_ses-month24__,yes,yes,yes,yes
sub-7213_ses-baseline__,yes,yes,yes,yes
sub-7216_ses-month24__,maybe,yes,no,no
sub-7220_ses-month24__,no,no,no,no
sub-7221_ses-baseline__,no,no,no,no
sub-7222_ses-baseline__,no,no,no,no
sub-7224_ses-baseline__,no,no,no,no
sub-7224_ses-month24__,no,no,no,no
sub-7226_ses-month24__,maybe,yes,yes,yes
sub-7228_ses-month24__,yes,yes,yes,yes
sub-7233_ses-baseline__,yes,yes,yes,yes
sub-7242_ses-baseline__,no,yes,no,no
sub-7242_ses-month24__,no,no,no,no
sub-7244_ses-baseline__,yes,yes,yes,yes
sub-7244_ses-month24__,no,no,no,no
sub-7246_ses-month24__,maybe,yes,yes,yes
sub-7253_ses-baseline__,no,no,no,no
sub-7261_ses-baseline__,no,no,no,no
sub-7261_ses-month24__,no,no,no,no
sub-7272_ses-month24__,no,no,no,no
sub-7285_ses-baseline__,no,no,no,no
sub-7293_ses-baseline__,no,no,no,no
sub-7297_ses-baseline__,yes,yes,yes,yes
sub-7298_ses-baseline__,no,no,no,no
sub-7300_ses-baseline__,no,no,no,no
sub-7302_ses-baseline__,no,no,no,no
sub-7303_ses-baseline__,yes,yes,yes,yes
sub-7305_ses-baseline__,no,no,no,no
sub-7314_ses-baseline__,no,no,no,no
sub-7322_ses-baseline__,yes,yes,yes,yes
sub-7325_ses-baseline__,yes,yes,yes,yes
sub-7346_ses-baseline__,no,yes,no,no
sub-7348_ses-month24__,yes,yes,yes,yes
sub-7356_ses-month24__,no,yes,no,no
sub-7358_ses-baseline__,maybe,yes,yes,yes
sub-7363_ses-baseline__,maybe,yes,no,no
sub-7371_ses-baseline__,yes,yes,yes,yes
sub-7372_ses-baseline__,yes,yes,yes,yes
sub-7375_ses-baseline__,no,no,no,no
sub-7375_ses-month24__,no,no,no,no
sub-7379_ses-baseline__,maybe,yes,no,no
sub-7384_ses-baseline__,no,no,no,no
sub-7387_ses-month24__,no,yes,no,no
sub-7388_ses-month24__,yes,yes,yes,yes
sub-7391_ses-baseline__,yes,yes,yes,yes
sub-7393_ses-baseline__,yes,yes,yes,yes
sub-7396_ses-baseline__,maybe,no,no,no
sub-7406_ses-month24__,yes,yes,yes,yes
sub-7409_ses-baseline__,no,no,no,no
sub-7410_ses-month24__,no,no,no,no
sub-7423_ses-baseline__,no,no,no,no
sub-7423_ses-month24__,no,no,no,no
sub-7427_ses-month24__,no,no,no,no
sub-7428_ses-baseline__,no,no,no,no
sub-7428_ses-month24__,no,no,no,no
sub-7430_ses-baseline__,no,no,no,no
sub-7435_ses-month24__,no,no,no,no
sub-7443_ses-baseline__,yes,yes,yes,yes
sub-7443_ses-month24__,yes,yes,yes,yes
sub-7448_ses-baseline__,yes,yes,yes,yes
sub-7449_ses-month24__,no,no,no,no
sub-7454_ses-baseline__,no,no,no,no
sub-7468_ses-month24__,yes,yes,yes,yes
sub-7471_ses-month24__,yes,yes,yes,yes
sub-7478_ses-baseline__,yes,yes,yes,yes
sub-7480_ses-baseline__,no,no,no,no
sub-7483_ses-month24__,maybe,no,no,no
sub-7485_ses-baseline__,no,no,no,no
sub-7490_ses-baseline__,no,no,no,no
sub-7497_ses-baseline__,no,no,no,no
sub-7499_ses-baseline__,maybe,no,yes,yes
sub-7502_ses-baseline__,maybe,yes,yes,yes
sub-7503_ses-baseline__,maybe,yes,no,yes
sub-7504_ses-baseline__,no,no,no,no
sub-7504_ses-month24__,no,no,no,no
sub-7510_ses-baseline__,maybe,yes,no,no
